,mu,xaxis,yaxis,colors
533,0.403,5.0969999999999995,24,#9D6C97
148,-0.6,5.1,24,#9DD9C5
501,0.301,5.199,22,#9D6C97
116,-0.7,5.2,26,#9DD9C5
469,0.208,5.292,26,#9D6C97
84,-0.8,5.3,22,#9DD9C5
437,0.103,5.397,20,#9D6C97
52,-0.903,5.4030000000000005,20,#9DD9C5
726,1.007,5.493,21,#9DC3E6
405,0.003,5.497,17,#9D6C97
373,0.001,5.499,21,#9D6C97
20,-1.0,5.5,18,#9DD9C5
341,-0.002,5.502,22,#9D6C97
694,0.9,5.6,23,#9DC3E6
309,-0.102,5.602,20,#9D6C97
662,0.806,5.694,21,#9DC3E6
277,-0.2,5.7,17,#9D6C97
630,0.701,5.799,21,#9DC3E6
245,-0.3,5.8,18,#9D6C97
598,0.604,5.896,18,#9DC3E6
213,-0.4,5.9,16,#9D6C97
566,0.504,5.996,15,#9DC3E6
181,-0.501,6.001,15,#9D6C97
534,0.403,6.0969999999999995,18,#9DC3E6
149,-0.6,6.1,13,#9D6C97
502,0.301,6.199,16,#9DC3E6
117,-0.7,6.2,16,#9D6C97
470,0.208,6.292,14,#9DC3E6
85,-0.8,6.3,10,#9D6C97
438,0.103,6.397,14,#9DC3E6
53,-0.903,6.4030000000000005,13,#9D6C97
727,1.007,6.493,8,#9DD9C5
406,0.003,6.497,15,#9DC3E6
374,0.001,6.499,12,#9DC3E6
21,-1.0,6.5,14,#9D6C97
342,-0.002,6.502,15,#9DC3E6
695,0.9,6.6,9,#9DD9C5
310,-0.102,6.602,13,#9DC3E6
663,0.806,6.694,9,#9DD9C5
278,-0.2,6.7,12,#9DC3E6
631,0.701,6.799,7,#9DD9C5
246,-0.3,6.8,12,#9DC3E6
599,0.604,6.896,8,#9DD9C5
214,-0.4,6.9,13,#9DC3E6
567,0.504,6.996,9,#9DD9C5
182,-0.501,7.001,10,#9DC3E6
535,0.403,7.0969999999999995,8,#9DD9C5
150,-0.6,7.1,13,#9DC3E6
503,0.301,7.199,7,#9DD9C5
118,-0.7,7.2,13,#9DC3E6
471,0.208,7.292,7,#9DD9C5
86,-0.8,7.3,12,#9DC3E6
439,0.103,7.397,5,#9DD9C5
54,-0.903,7.4030000000000005,9,#9DC3E6
728,1.007,7.493,8,#9D6C97
407,0.003,7.497,5,#9DD9C5
375,0.001,7.499,4,#9DD9C5
22,-1.0,7.5,9,#9DC3E6
343,-0.002,7.502,5,#9DD9C5
696,0.9,7.6,7,#9D6C97
311,-0.102,7.602,6,#9DD9C5
664,0.806,7.694,8,#9D6C97
279,-0.2,7.7,4,#9DD9C5
632,0.701,7.799,9,#9D6C97
247,-0.3,7.8,4,#9DD9C5
600,0.604,7.896,7,#9D6C97
215,-0.4,7.9,3,#9DD9C5
568,0.504,7.996,7,#9D6C97
183,-0.501,8.001,4,#9DD9C5
536,0.403,8.097,6,#9D6C97
151,-0.6,8.1,8,#9DD9C5
504,0.301,8.199,5,#9D6C97
119,-0.7,8.2,4,#9DD9C5
472,0.208,8.292,8,#9D6C97
87,-0.8,8.3,4,#9DD9C5
440,0.103,8.397,4,#9D6C97
55,-0.903,8.403,5,#9DD9C5
729,1.007,8.493,8,#9DC3E6
408,0.003,8.497,6,#9D6C97
376,0.001,8.499,7,#9D6C97
23,-1.0,8.5,4,#9DD9C5
344,-0.002,8.502,5,#9D6C97
697,0.9,8.6,8,#9DC3E6
312,-0.102,8.602,10,#9D6C97
665,0.806,8.693999999999999,9,#9DC3E6
280,-0.2,8.7,7,#9D6C97
633,0.701,8.799,7,#9DC3E6
