mu,xaxis,yaxis,colors
0.403,7.0969999999999995,8,#9DD9C5
-0.6,7.1,13,#9DC3E6
0.301,7.199,7,#9DD9C5
-0.7,7.2,13,#9DC3E6
0.208,7.292,7,#9DD9C5
-0.8,7.3,12,#9DC3E6
0.103,7.397,5,#9DD9C5
-0.903,7.4030000000000005,9,#9DC3E6
1.007,7.493,8,#9D6C97
0.003,7.497,5,#9DD9C5
0.001,7.499,4,#9DD9C5
-1.0,7.5,9,#9DC3E6
-0.002,7.502,5,#9DD9C5
0.9,7.6,7,#9D6C97
-0.102,7.602,6,#9DD9C5
0.806,7.694,8,#9D6C97
-0.2,7.7,4,#9DD9C5
0.701,7.799,9,#9D6C97
-0.3,7.8,4,#9DD9C5
0.604,7.896,7,#9D6C97
-0.4,7.9,3,#9DD9C5
0.504,7.996,7,#9D6C97
-0.501,8.001,4,#9DD9C5
0.403,8.097,6,#9D6C97
-0.6,8.1,8,#9DD9C5
0.301,8.199,5,#9D6C97
-0.7,8.2,4,#9DD9C5
0.208,8.292,8,#9D6C97
-0.8,8.3,4,#9DD9C5
0.103,8.397,4,#9D6C97
-0.903,8.403,5,#9DD9C5
1.007,8.493,8,#9DC3E6
0.003,8.497,6,#9D6C97
0.001,8.499,7,#9D6C97
-1.0,8.5,4,#9DD9C5
-0.002,8.502,5,#9D6C97
0.9,8.6,8,#9DC3E6
-0.102,8.602,10,#9D6C97
0.806,8.693999999999999,9,#9DC3E6
-0.2,8.7,7,#9D6C97
0.701,8.799,7,#9DC3E6
-0.3,8.8,7,#9D6C97
0.604,8.896,7,#9DC3E6
-0.4,8.9,6,#9D6C97
0.504,8.996,5,#9DC3E6
-0.501,9.001,9,#9D6C97
0.403,9.097,6,#9DC3E6
-0.6,9.1,5,#9D6C97
0.301,9.199,9,#9DC3E6
-0.7,9.2,6,#9D6C97
0.208,9.292,5,#9DC3E6
-0.8,9.3,4,#9D6C97
0.103,9.397,6,#9DC3E6
-0.903,9.403,5,#9D6C97
1.007,9.493,3,#9DD9C5
0.003,9.497,5,#9DC3E6
0.001,9.499,4,#9DC3E6
-1.0,9.5,6,#9D6C97
