angle,x0,difference,slice,amplitude,rmse
-4.72296875,-4.532979368706622,0.18998938129337795,177.0,0.9902527046499392,111.08936319895338
-4.7034375,-4.512754104993572,0.1906833950064275,178.0,0.9902643570109126,109.99882970774904
-4.68390625,-4.4932440600598085,0.19066218994019124,179.0,0.9908218562371128,110.0221960854407
-4.664375,-4.4742602169569965,0.19011478304300322,180.0,0.9901279208815098,108.62507129793377
-4.64484375,-4.457125645051048,0.18771810494895202,181.0,0.9905831286885847,109.51348478774716
-4.6253125,-4.439374075917698,0.18593842408230188,182.0,0.9899837136042613,107.55134012905098
-4.60578125,-4.421919516961335,0.1838617330386647,183.0,0.9904254927412812,108.08843301443403
-4.58625,-4.403199743078444,0.18305025692155574,184.0,0.9897651415076892,106.0209937784047
-4.56671875,-4.383742501117113,0.18297624888288677,185.0,0.9897016944205683,105.41509575231393
-4.5471875,-4.365395983787649,0.18179151621235068,186.0,0.9902932886720068,105.28067888966683
-4.52765625,-4.348361142815043,0.17929510718495667,187.0,0.9898222635116786,102.59569878488966
-4.508125,-4.330716121898415,0.177408878101585,188.0,0.990213471278199,103.94521234116684
-4.48859375,-4.312052559796789,0.1765411902032108,189.0,0.9901133962452093,100.79757968437298
-4.4690625,-4.295710611825828,0.1733518881741718,190.0,0.9898167179376823,100.56092379909484
-4.44953125,-4.275969573409169,0.17356167659083077,191.0,0.9897893112318953,98.68278880045399
-4.43,-4.257953635425266,0.17204636457473388,192.0,0.9899267037094776,96.84858259990432
-4.41046875,-4.2391255338337075,0.17134321616629222,193.0,0.9893480726688494,95.56608294863089
-4.3909375,-4.219446215215456,0.171491284784544,194.0,0.9897816116177625,92.46436081187773
-4.37140625,-4.201921892879079,0.16948435712092103,195.0,0.9893031027581597,88.20845299575679
-4.351875,-4.182110883181465,0.1697641168185351,196.0,0.989406586632055,84.52314354861414
-4.33234375,-4.162117232998821,0.1702265170011783,197.0,0.9891332893308357,81.77636992242203
-4.3128125,-4.142219797671597,0.17059270232840262,198.0,0.9895360543787545,79.49907429413216
-4.29328125,-4.122537857328105,0.17074339267189487,199.0,0.9890711530358612,74.95363308682222
-4.27375,-4.102258057088328,0.1714919429116719,200.0,0.9889737654857939,74.46711697158104
-4.25421875,-4.081257000567477,0.17296174943252307,201.0,0.9894010943305988,70.48853083467877
-4.2346875,-4.061700026390798,0.17298747360920164,202.0,0.989423123283381,68.5611710465624
-4.21515625,-4.0413091559900325,0.17384709400996723,203.0,0.9894533783625435,63.36313495818654
-4.195625,-4.0228597950542175,0.17276520494578218,204.0,0.9893169513078155,61.88641097580313
-4.17609375,-4.005445260282304,0.17064848971769564,205.0,0.9897677643835614,59.88088470970871
-4.1565625,-3.9863632210720894,0.1701992789279103,206.0,0.9893780893332191,56.41636829233831
-4.13703125,-3.970464119071066,0.1665671309289336,207.0,0.9892914477539195,55.60587508990992
-4.1175,-3.951975951059735,0.16552404894026473,208.0,0.989130859046616,53.41299575776595
-4.09796875,-3.9350510238295113,0.16291772617048839,209.0,0.9889554888130793,49.94231289744878
-4.0784375,-3.9189003965550806,0.15953710344491911,210.0,0.9882401476074201,49.21847177024842
-4.05890625,-3.9015478231616276,0.1573584268383721,211.0,0.9885567460476997,49.04700875261689
-4.039375,-3.883781940680674,0.15559305931932554,212.0,0.9880869721058217,46.329910294342774
-4.01984375,-3.8643799761982733,0.15546377380172638,213.0,0.9878357440001088,43.50705816753476
-4.0003125,-3.843668717359081,0.1566437826409186,214.0,0.9876342512862855,38.420778501011945
-3.9807812499999997,-3.823424911146972,0.1573563388530279,215.0,0.9879418283448473,36.56018082192905
-3.9612499999999997,-3.8039608220708883,0.15728917792911146,216.0,0.9871371293940268,37.64291738675406
-3.9417187499999997,-3.7866423415841126,0.1550764084158871,217.0,0.9873003022141207,40.76507379173845
-3.9221874999999997,-3.7678934652583966,0.15429403474160308,218.0,0.987251503591123,40.5764893985864
-3.9026562499999997,-3.746039990493001,0.15661625950699865,219.0,0.9867474861769656,41.4340599165408
-3.8831249999999997,-3.7273816849097967,0.155743315090203,220.0,0.9867161767907863,41.97316778745025
-3.8635937499999997,-3.7055775899012713,0.15801616009872843,221.0,0.987140376455876,42.55808413167271
-3.8440624999999997,-3.6876091361022394,0.15645336389776032,222.0,0.9864476514225394,42.39047410815703
